GroupName,DisplayName,en,zh-Hant,ja,ko,fr,hu,es,zh-Hans,de,ru
HeadWingRight,Ear Wing <<,Ear Wing <<,耳翼 <<,耳羽 <<,귀 날개 <<,Aile d'oreille <<,Fülszárny <<,Ala de oreja <<,翅膀耳朵 <<,Ohrflügel <<,Ухо Крыло <<
HeadWingRightOutline,Ear Wing << Outline,Ear Wing << Outline,耳翼 << 輪廓,耳羽 輪郭 <<,이어윙 << 개요,Aile d'oreille << Aperçu,Fülszárny << Vázlat,Ala de oreja << Contorno,翅膀耳朵 << 轮廓,Ohrflügel << Umriss,Ухо-крыло << Контур
Heart,Heart,Heart,心,ハート,마음,Cœur,Szív,Corazón,爱心,Herz,Сердце
HornLeft,Horn >>,Horn >>,喇叭>>,角 >>,혼 >>,Corne >>,Kürt >>,Cuerno >>,角 >>,Horn >>,Рог >>
HornLeftOutline,Horn >> Outline,Horn >> Outline,喇叭 >> 概要,角 輪郭 >>,혼 >> 개요,Corne >> Aperçu,Kürt >> Vázlat,Cuerno >> Contorno,角 >> 轮廓,Horn >> Umriss,Рог >> Схема
HornRight,Horn <<,Horn <<,號角<<,角 <<,혼 <<,Corne <<,Kürt <<,Cuerno <<,角 <<,Horn <<,Рог <<
HornRightOutline,Horn << Outline,Horn << Outline,號角 << 概要,角 輪郭 <<,혼 << 개요,Corne << Aperçu,Kürt << Vázlat,Cuerno << Contorno,角 <<轮廓,Horn << Umriss,Рог << Схема
HornMiddle,Horn ><,Horn ><,喇叭><,角 中央,혼 ><,Corne ><,Kürt ><,Cuerno ><,角 ><,Horn ><,Рог ><
HornMiddleOutline,Horn >< Outline,Horn >< Outline,喇叭 >< 概要,角 中央 輪郭,혼 >< 개요,Corne >< Aperçu,Kürt >< Vázlat,Cuerno >< Contorno,角 >< 轮廓,Horn >< Umriss,Рог >< Схема
JailGrill,Jail Grill,Jail Grill,監獄燒烤,牢屋格子,감옥 그릴,Grill de prison,Jail Grill,Barrotes de la cárcel,监狱栅栏,Gefängnis,Тюремный гриль
Keyboard,Keyboard,Keyboard,鍵盤,キーボード,건반,Clavier,Billentyűzet,Teclado,键盘,Tastatur,Клавиатура
KitchenKnife,Kitchen Knife,Kitchen Knife,花椰菜刀,包丁,부엌칼,Couteau de cuisine,Konyhai kés,Cuchillo de cocina,厨房刀,Küchenmesser,Кухонный нож
Laptop,Laptop,Laptop,筆記型電腦,ノートPC,랩탑,Ordinateur portable,Laptop,Computadora portátil,电脑,Laptop,Ноутбук
LaptopLight,Laptop Light,Laptop Light,筆記型電腦燈,ノートPCライト,노트북 라이트,Lumière pour ordinateur portable,Laptop fény,Luz de la computadora portátil,电脑 屏幕光,Laptop Licht,Свет для ноутбука
LegLeft,Leg >>,Leg >>,腿>>,脚 >>,다리 >>,Jambe >>,Láb >>,Pierna >>,腿 >>,Bein >>,Нога >>
LegRight,Leg <<,Leg <<,腿<<,脚 <<,다리 <<,Jambe <<,Láb <<,Pierna <<,腿 <<,Bein <<,Нога <<
LightstickHandle,Lightstick Handle,Lightstick Handle,螢光棒手柄,ペンライト持ち手,응원봉 손잡이,Poignée de bâton lumineux,Lightstick fogantyú,Mango del Lightstick,荧光棒 把手,Leuchtstabgriff,Ручка светового стика
LightStickLeft,Light Stick >>,Light Stick >>,螢光棒>>,ペンライト >>,라이트스틱 >>,Bâton lumineux >>,Light Stick >>,Lightstick >>,荧光棒 >>,Leuchtstab >>,Световая палочка >>
LightStickRight,Light Stick <<,Light Stick <<,螢光棒<<,ペンライト <<,라이트스틱 <<,Bâton lumineux <<,Light Stick <<,Lightstick <<,荧光棒 <<,Leuchtstab <<,Световая палка <<
Mecha,Mecha,Mecha,機甲,メカ,메카,Mécha,Mecha,Mecha,机械,Mecha,Меха
MechaLeft,Mecha >>,Mecha >>,機甲>>,メカ >>,메카 >>,Mécha >>,Mecha >>,Mecha >>,机械 >>,Mecha >>,Меха >>
MechaLeftOutline,Mecha >> Outline,Mecha >> Outline,機甲 >> 摘要,メカ 輪郭 >>,메카 >> 개요,Mecha >> Aperçu,Mecha >> Vázlat,Mecha >> Contorno,机械 >> 轮廓,Mecha >> Umriss,Меха >> Схема
MechaOutline,Mecha Outline,Mecha Outline,機甲概要,メカ 輪郭,메카 개요,Aperçu du méca,Mecha körvonal,Contorno del mecha,机械 轮廓,Mecha Umriss,Механический контур
MechaRight,Mecha <<,Mecha <<,機甲 <<,メカ <<,메카 <<,Mécha <<,Mecha <<,Mecha <<,机械 <<,Mecha <<,Меха <<
MechaRightOutline,Mecha << Outline,Mecha << Outline,機甲<<大綱,メカ 輪郭 <<,메카 << 개요,Mecha << Aperçu,Mecha << Vázlat,Mecha << Contorno,机械 << 轮廓,Mecha << Umriss,Меха << Схема
Mouse,Mouse,Mouse,老鼠,マウス,생쥐,Souris,Egér,Ratón,鼠标,Maus,Мышь
Mouth,Mouth/Tongue,Mouth/Tongue,嘴巴/舌頭,口／舌,입/혀,Bouche/Langue,Száj/nyelv,Boca/Lengua,嘴/舌头,Mund/Zunge,Рот/Язык
MouthShadow,Mouth/Tongue Shadow,Mouth/Tongue Shadow,嘴/舌頭陰影,口／舌 影,입/혀 그림자,Ombre bouche/langue,Száj/nyelv árnyék,Sombra de boca/lengua,嘴/舌头 阴影,Mund/Zungenschatten,Тень рта/языка
Notepad,Notepad,Notepad,記事本,メモ帳,메모장,Bloc-notes,Jegyzettömb,Bloc de notas,记事本,Notizblock,Блокнот
OutfitCollar,Outfit Collar,Outfit Collar,服裝領子,襟,의상 칼라,Collier de tenue,Outfit gallér,Cuello del Outfit,服装 领子,Outfit Kragen,Воротник наряда
OutfitCollarOutline,Outfit Collar Outline,Outfit Collar Outline,服裝領型輪廓,襟 輪郭,의상 칼라 개요,Aperçu du col de la tenue,Outfit gallér vázlat,Contorno del cuello del Outfit,服装 领子 轮廓,Outfit Kragen Umriss,Схема воротника наряда
OutfitInner,Outfit Inner,Outfit Inner,服飾內搭,服 内側,의상 내부,Tenue intérieure,Outfit belső,Outfit interior,服装 里侧,Outfit innen,Внутренний наряд
OutfitInnerOutline,Outfit Inner Outline,Outfit Inner Outline,服裝內部輪廓,服 内側 輪郭,의상 내부 개요,Aperçu intérieur de la tenue,Outfit belső körvonala,Contorno del Outfit interior,服装 里侧 轮廓,Outfit innen Umriss,Внутренний контур наряда
OutfitNeckwearA,Outfit Neckwear A,Outfit Neckwear A,服裝項鍊A,ネックウェアA,아웃핏 넥웨어 A,Tenue Cravate A,Outfit Neckwear A,Accesorios de cuello A,服装 颈部装饰 A,Outfit Halsschmuck A,Наряд Галстук А
OutfitNeckwearAOutline,Outfit Neckwear A Outline,Outfit Neckwear A Outline,服裝 領帶 A 輪廓,ネックウェアA 輪郭,아웃핏 넥웨어 A 개요,Tenue Cravates Un Contour,Outfit Neckwear Egy körvonal,Contorno del accesorio de cuello A,服装 颈部装饰 A 轮廓,Outfit Halsschmuck A Umriss,"Наряд, галстук, контур"
OutfitNeckwearB,Outfit Neckwear B,Outfit Neckwear B,服飾領帶B,ネックウェアB,아웃핏 넥웨어 B,Tenue Cravate B,Outfit Neckwear B,Accesorios de cuello B,服装 颈部装饰 B,Outfit Halsschmuck B,Наряд Галстук Б
OutfitNeckwearBOutline,Outfit Neckwear B Outline,Outfit Neckwear B Outline,服裝 領帶 B 輪廓,ネックウェアB 輪郭,아웃핏 넥웨어 B 개요,Tenue Cravates B Outline,Outfit Neckwear B körvonal,Contorno del accesorio de cuello B,服装 颈部装饰 B 轮廓,Outfit Halsschmuck B Umriss,"Наряд, галстук, B, контур"
OutfitNeckwearC,Outfit Neckwear C,Outfit Neckwear C,服飾領帶C,ネックウェアC,아웃핏 넥웨어 C,Tenue Cravate C,Outfit Neckwear C,Accesorios de cuello C,服装 颈部装饰 C,Outfit Halsschmuck C,Наряд Галстук C
OutfitNeckwearCOutline,Outfit Neckwear C Outline,Outfit Neckwear C Outline,服飾 領帶 C 輪廓,ネックウェアC 輪郭,아웃핏 넥웨어 C 개요,Tenue Cravate C Outline,Outfit Neckwear C körvonal,Contorno del accesorio de cuello C,服装 颈部装饰 C 轮廓,Outfit Halsschmuck C Umriss,Наряд Галстук C Контур
OutfitOuter,Outfit Outer,Outfit Outer,服裝外套,服 外側,의상 아우터,Tenue extérieure,Outfit Outer,Traje exterior,服装 外侧,Outfit außen,Наряд Внешний
OutfitOuterOutline,Outfit Outer Outline,Outfit Outer Outline,服裝外觀輪廓,服 外側 輪郭,의상 외부 개요,Contour extérieur de la tenue,Outfit külső körvonala,Contorno del traje exterior,服装 外侧 轮廓,Outfit außen Umriss,Внешний контур наряда
Pencil,Pencil,Pencil,鉛筆,鉛筆,연필,Crayon,Ceruza,Lápiz,铅笔,Bleistift,Карандаш
Phone,Phone,Phone,電話,スマホ,핸드폰,Téléphone,Telefon,Teléfono,手机,Telefon,Телефон
PhoneLight,Phone Light,Phone Light,手機燈,スマホライト,전화 조명,Lumière du téléphone,Telefonfény,Luz del teléfono,手机 屏幕光,Telefon Licht,Телефон Свет
PigtailLeft,Hair Pigtail >>,Hair Pigtail >>,頭髮辮子>>,おさげ >>,헤어 피그테일 >>,Queue de cochon >>,Haj Pigtail >>,Coleta de pelo >>,头发 马尾 >>,Haarzopf >>,Косичка для волос >>
PigtailLeftOutline,Hair Pigtail >> Outline,Hair Pigtail >> Outline,辮子 >> 摘要,おさげ 輪郭 >>,헤어 피그테일 >> 개요,Queue de cochon >> Aperçu,Haj Pigtail >> Vázlat,Coleta de pelo >> Contorno,头发 马尾 >> 轮廓,Haarzopf >> Umriss,Косичка для волос >> Схема
PigtailRight,Hair Pigtail <<,Hair Pigtail <<,辮子 <<,おさげ <<,머리 땋은 머리 <<,Queue de cochon <<,Haj Pigtail <<,Coleta de pelo <<,头发 马尾 <<,Haarzopf <<,Косичка для волос <<
PigtailRightOutline,Hair Pigtail << Outline,Hair Pigtail << Outline,辮子 << 大綱,おさげ 輪郭 <<,헤어 피그테일 << 개요,Queue de cochon << Aperçu,Haj Pigtail << Vázlat,Coleta de pelo << Contorno,头发 马尾 << 轮廓,Haarzopf << Umriss,Косичка для волос << Схема
Rose,Rose,Rose,玫瑰,バラ,장미,Rose,Rózsa,Rosa,玫瑰,Rose,Роза
RoundSign,Round Sign,Round Sign,圓形標誌,採点棒,둥근 표시,Signe rond,Kerek Jel,Señal redonda,圆形标牌,Rundes Schild,Круглый знак
RoundSignText,Round Sign Text,Round Sign Text,圓形標誌文本,採点棒の文字,둥근 기호 텍스트,Texte de signe rond,Kerek jel szöveg,Texto de la señal redonda,圆形标牌 文字,Rundes Schild Text,Текст круглого знака
SideHair,Hair Side,Hair Side,頭髮側,横髪,헤어사이드,Côté cheveux,Hajoldal,Cabello de los lados trasero,头发 侧面,Haare Seite,Сторона волос
SideHairOutline,Hair Side Outline,Hair Side Outline,頭髮側面輪廓,横髪 輪郭,머리 옆 윤곽선,Contour côté cheveux,Haj oldalsó körvonal,Contorno del cabello de los lados trasero,头发 侧面 轮廓,Haare Seite Umriss,Контур волос сбоку
Skin,Skin,Skin,皮膚,肌,피부,Peau,Bőr,Piel,肤色,Haut,Кожа
SkinOutline,Skin Outline,Skin Outline,皮膚輪廓,肌 輪郭,피부 윤곽,Contour de la peau,Bőr körvonala,Contorno de la piel,肤色 轮廓,Hautumriss,Контур кожи
SquareSign,Square Sign,Square Sign,方形標誌,手持ち看板,정사각형 표시,Signe carré,négyzet alakú jel,Señal cuadrada,方形标牌,Quadratisches Schild,Квадратный знак
SquareSignText,Square Sign Text,Square Sign Text,方形符號文字,手持ち看板の文字,사각형 기호 텍스트,Texte de signe carré,Négyzet alakú jel szöveg,Texto de la señal cuadrada,方形标牌 文字,Quadratisches Schild Text,Текст квадратного знака
SteeringWheel,Steering Wheel,Steering Wheel,方向盤,ハンドル,스티어링 휠,Volant,Kormánykerék,Volante,方向盘,Lenkrad,Руль
GasBottle,Gas Bottle,Gas Bottle,氣瓶,ガスボンベ,가스통,Bouteille de gaz,Gázpalack,Tanque de Copium,压缩气瓶,Gasflasche,Газовый баллон
Sticker_Front/PatHand,Pat Hand,Pat Hand,拍手,なで手,팻 핸드,Pat Main,Pat Hand,Mano de la palmadita,摸头手,Streichelhand,Пэт Хэнд
StickerAlert,Sticker Alert,Sticker Alert,貼紙警報,アラートステッカー,스티커 알림,Alerte autocollant,Matrica figyelmeztetés,Color de la alerta,表情贴纸 通知/提示,Aufkleber Alert,Наклейка Оповещение
StickerAlertEffect,Sticker Alert Effect,Sticker Alert Effect,貼紙警報效果,アラートエフェクト,스티커 알림 효과,Effet d'alerte autocollant,Matrica figyelmeztető hatás,Efecto de la alerta,表情贴纸 通知/提示 特效,Aufkleber Alert Effekt,Эффект оповещения стикера
StickerAlertOutline,Sticker Alert Outline,Sticker Alert Outline,貼紙警報大綱,アラート 輪郭,스티커 알림 개요,Aperçu de l’alerte autocollant,Matrica figyelmeztetés vázlata,Contorno de la alerta,表情贴纸 通知/提示 轮廓,Aufkleber Alert Umriss,Схема оповещения о наклейках
StickerAngry,Sticker Angry,Sticker Angry,貼紙生氣,怒りステッカー,스티커 화가,Autocollant En colère,Dühös matrica,Efecto enojado,表情贴纸 生气,Aufkleber Wütend,Наклейка Злой
StickerExclamationMark,Sticker Exclamation Mark,Sticker Exclamation Mark,貼紙驚嘆號,びっくりマークステッカー,스티커 느낌표,Autocollant point d'exclamation,Matrica felkiáltójel,Signo de exclamación,表情贴纸 感叹号,Aufkleber Ausrufezeichen,Наклейка с восклицательным знаком
StickerGhost,Sticker Ghost,Sticker Ghost,貼紙幽靈,おばけステッカー,스티커 고스트,Autocollant Fantôme,Matrica Ghost,Efecto Fantasma,表情贴纸 幽灵,Aufkleber Geist,Наклейка Призрак
StickerHeart,Sticker Heart,Sticker Heart,貼紙心,ハートステッカー,스티커 하트,Autocollant Coeur,Matrica szív,Efecto Corazón,表情贴纸 爱心,Aufkleber Herz,Наклейка Сердце
StickerLaugh,Sticker Laugh,Sticker Laugh,貼紙笑,笑いステッカー,스티커 웃음,Autocollant Rire,Nevetés matrica,Efecto Risa,表情贴纸 笑,Aufkleber Lachen,Наклейка «Смех»
StickerQuestionMark,Sticker Question Mark,Sticker Question Mark,貼紙問號,はてなステッカー,스티커 물음표,Autocollant point d'interrogation,Matrica kérdőjel,Signo de interrogación,表情贴纸 问号,Aufkleber Fragezeichen,Наклейка с вопросительным знаком
StickerSleep,Sticker Sleep,Sticker Sleep,貼紙睡眠,寝るステッカー,스티커 수면,Autocollant Sommeil,Alvó matrica,Efecto Dormir,表情贴纸 睡觉,Aufkleber Schlaf,Наклейка Сон
StickerStar,Sticker Star,Sticker Star,貼紙明星,星ステッカー,스티커 별,Autocollant Étoile,Matrica csillag,Efecto Estrella,表情贴纸 星星,Aufkleber Stern,Наклейка Звезда
StickerSteam,Sticker Steam,Sticker Steam,貼紙蒸汽,湯気ステッカー,스티커 스팀,Autocollant Vapeur,Steam matrica,Efecto Vapor,表情贴纸 气,Aufkleber Dampf,Наклейка Steam
StickerSurprise,Sticker Surprise,Sticker Surprise,貼紙驚喜,びっくりステッカー,스티커 서프라이즈,Autocollant Surprise,Matrica Meglepetés,Efecto Sorpresa,表情贴纸 惊吓,Aufkleber Überraschung,Наклейка-сюрприз
StickerSweat,Sticker Sweat,Sticker Sweat,貼紙汗水,汗ステッカー,스티커 땀,Autocollant Sueur,Matrica verejték,Gota de Sudor,表情贴纸 汗,Aufkleber Schweiß,Наклейка Пот
StickerSweatLarge,Sticker Sweat (Large),Sticker Sweat (Large),汗貼（大）,汗ステッカー（大）,스티커 스웨트(대),Autocollant Sweat (Grand),Izzadt matrica (nagy),Gota de Sudor (Grande),表情贴纸 汗（大）,Aufkleber Schweiß (Groß),Наклейка Пот (большая)
StickerVolume,Sticker Volume,Sticker Volume,貼紙量,音量ステッカー,스티커 볼륨,Volume des autocollants,Matrica kötet,Efecto de Volumen,表情贴纸 音量,Aufkleber Lautstärke,Объем наклейки
StickyNote,Sticky Note,Sticky Note,便利貼,ふせん,스티커 메모,Pense-bête,Sticky Note,Nota adhesiva,表情贴纸 便签,Haftnotiz,Заметка
StickyNoteText,Sticky Note Text,Sticky Note Text,便箋文本,ふせんの文字,스티커 메모 텍스트,Texte de pense-bête,Sticky Note szöveg,Texto de nota adhesiva,表情贴纸 便签 文字,Haftnotiz Text,Текст заметки
Tear,Eye Tear,Eye Tear,眼睛流淚,涙,눈의 눈물,Larme aux yeux,Eye Tear,Lágrima del ojo,眼睛 眼泪,Augentränen,Глазная слеза
Utensil,Utensil,Utensil,用具,食器,기구,Ustensile,Konyhaedény,Utensilio,餐具,Besteck,Посуда
OutfitCollarString,Outfit Collar String,Outfit Collar String,服飾領帶,襟ひも,의상 칼라 스트링,Chaîne de collier de tenue,Outfit nyakörv,Cordón del cuello del Outfit,服装 领子 抽绳,Outfit Kragenschnur,Строка для воротника наряда
Bell,Bell,Bell,,,,,,,铃铛,,
Confetti1,Confetti 1,Confetti 1,,,,,,,彩纸 1,,
Confetti2,Confetti 2,Confetti 2,,,,,,,彩纸 2,,
Confetti3,Confetti 3,Confetti 3,,,,,,,彩纸 3,,
Microphone,Microphone,Microphone,,,,,,,麦克风,,
Gleam,Gleam,Gleam,,,,,,,光晕,,
VideoCamera,Video Camera,Video Camera,,,,,,,摄像机,,
PointHand,Point Hand,Point Hand,,,,,,,指人手,,
Bowl,Bowl,Bowl,,,,,,,碗,,
Cake,Cake,Cake,,,,,,,蛋糕,,
CandleFire,Candle Fire,Candle Fire,,,,,,,蜡烛 火焰,,
DrawingTablet,Drawing Tablet,Drawing Tablet,,,,,,,画板,,
LoveLetter,Love Letter,Love Letter,,,,,,,情书,,
Popper,Popper,Popper,,,,,,,彩纸筒,,
Stylus,Stylus,Stylus,,,,,,,手写笔,,
Tablet,Tablet,Tablet,,,,,,,画板,,
MusicalNote1,Musical Note 1,Musical Note 1,,,,,,,音乐 音符 1,,
MusicalNote2,Musical Note 2,Musical Note 2,,,,,,,音乐 音符 2,,
PhoneScreen,Phone Screen,Phone Screen,,,,,,,手机 屏幕,,
Tail,Tail,Tail,,,,,,,尾巴,,
TailOutline,Tail Outline,Tail Outline,,,,,,,尾巴 轮廓,,
WingLeft,Wing >>,Wing >>,,,,,,,翅膀 >>,,
WingLeftOutline,Wing >> Outline,Wing >> Outline,,,,,,,翅膀 >> 轮廓,,
WingRight,Wing <<,Wing <<,,,,,,,翅膀 <<,,
WingRightOutline,Wing << Outline,Wing << Outline,,,,,,,翅膀 << 轮廓,,
